ds,yhat,yhat_lower,yhat_upper
2024-06-30,7520.05774590082,6809.21917596276,8202.997988691306
2024-07-31,7689.157716241688,6966.185730505493,8448.17926455282
2024-08-31,7858.257686582556,7134.544857008414,8611.204311157038
2024-09-30,8021.902819170493,7293.562480357038,8747.822557735291
2024-10-31,8191.002789511362,7392.346598437362,8915.364547899471
2024-11-30,8354.647922099297,7639.501920016562,9087.811117281042
2024-12-31,8523.747892440166,7789.188546967009,9237.703107042822
2025-01-31,8692.847862781033,7968.500483452002,9377.517682628722
2025-02-28,8845.583319863108,8081.240884719462,9629.324541233202
2025-03-31,9014.683290203977,8274.793354799293,9759.433765532416
2025-04-30,9178.328422791914,8456.358581575896,9953.132472011142
2025-05-31,9347.428393132781,8634.834485326099,10069.651425520186
