ds,yhat,yhat_lower,yhat_upper
2024-07-01,7525.512583653752,6401.997407502884,8671.82499297347
2024-08-01,7694.612553994619,6550.758588042386,8852.807989818844
2024-09-01,7863.712524335488,6728.158642079522,8932.712876011548
2024-10-01,8027.357656923425,6897.428203456472,9096.301878014228
2024-11-01,8196.457627264292,7087.8193569250525,9264.844371544876
2024-12-01,8360.102759852229,7319.2847741483465,9498.40272087128
2025-01-01,8529.202730193096,7416.027245744368,9672.680569186534
2025-02-01,8698.302700533966,7546.304785928579,9781.58925485524
2025-03-01,8851.03815761604,7727.8936548661195,9955.55915806374
2025-04-01,9020.138127956907,7924.192366024879,10158.718240405988
2025-05-01,9183.783260544844,8034.657238998321,10206.46367827667
2025-06-01,9352.88323088571,8229.92263048641,10486.317224502865
